id,part,source_file,source_locator,authority_sha256,observation,adverse_evidence,proposed_smallest_correction,status
SITES-002,p01,sites.tex,sites.tex:2595-2597,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The lemma repeats the sentence fragment 'In the situation of Lemma ... .'.","As at lines 2580-2582 the prepositional phrase is not a complete sentence.","Join it to 'For any presheaf ...' with a comma.",reported_to_cjk1_2026-08-22
SITES-003,p01,sites.tex,sites.tex:2821-2823,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The proof ends 'we conclude because' followed by the displayed identity u_s = # o u_p.","The connective is grammatically incomplete although the mathematical reason is clear.","Replace with 'we conclude using' or 'we conclude because u_s = ...'.",reported_to_cjk1_2026-08-22
SITES-004,p01,sites.tex,sites.tex:2832-2834,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"There is a space before the comma in '\\mathcal{D}$ , and'.","The punctuation spacing is inconsistent with the rest of the source.","Delete the space before the comma.",reported_to_cjk1_2026-08-22
SITES-005,p01,sites.tex,sites.tex:3354-3360,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The sentence says that id_U 'lifts to a section of s_c of h_{U_{iota(c)}}^#'.","The next sentence defines s_c as the section; 'of s_c' makes s_c an object possessing a section and is grammatically and mathematically inconsistent.","Replace 'lifts to a section of s_c of' by 'lifts to a section s_c of'.",reported_to_cjk1_2026-08-22
SITES-006,p01,sites.tex,sites.tex:3405,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The sentence begins 'Finite copoducts of sheaves'.","The standard categorical noun is 'coproducts'.","Replace 'copoducts' by 'coproducts'.",reported_to_cjk1_2026-08-22
SITES-007,p01,sites.tex,sites.tex:3460-3474,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"After introducing sections s and s' and assuming phi_{ii_a}(s)=phi_{i'i_a}(s'), the conclusion twice uses phi_{i'i''}(s).","The second transition morphism has source F_{i'} and must act on s'; using s is ill-typed unless i=i', which is not assumed.","Replace both occurrences of phi_{i'i''}(s) at lines 3472 and 3474 by phi_{i'i''}(s').",reported_to_cjk1_2026-08-22
SITES-008,p01,sites.tex,sites.tex:3622-3628,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The proof says 'This is done shown in the next paragraph'.","The doubled auxiliary is ungrammatical.","Replace with 'This is shown in the next paragraph'.",reported_to_cjk1_2026-08-22
SITES-009,p01,sites.tex,sites.tex:3738-3744,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The proof says 'Since the cardinality if I x I'.","The preposition is a typographical error.","Replace 'if' by 'of'.",reported_to_cjk1_2026-08-22
SITES-010,p01,sites.tex,sites.tex:1248-1278,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The induced morphism f_{jj'} has target U_{alpha(i)} x_U U_{alpha(i')}, although i and i' are not bound in this sentence.","The map alpha has domain J; f_{jj'} is induced by f_j and f_{j'}, and the next two formulas use U_{alpha(j)} x_U U_{alpha(j')}.","Replace i and i' in the target at line 1273 by j and j'.",reported_to_cjk1_2026-08-22
SITES-011,p01,sites.tex,sites.tex:2166-2201,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The covering {U_{ijk} -> U_i x_U U_j} at line 2200 is said to be of site D.","The lemma defines only site C; the cited lemma states the identical covering is of C at line 2168.","Replace mathcal D by mathcal C at line 2200.",reported_to_cjk1_2026-08-22
SITES-012,p01,sites.tex,sites.tex:253-270,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The proof defines G'(U) for U in Ob(C), using plain C.","The ambient category is mathcal C throughout the lemma and plain C is undefined; line 302 uses Ob(mathcal C) in the same chapter.","Replace Ob(C) by Ob(mathcal C) at line 267.",reported_to_cjk1_2026-08-22
SITES-013,p01,sites.tex,sites.tex:2212-2223,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The proof says the pullbacks of t_i and t_j agree because 'we have the agreement for t_i and t_j'.","This is circular: agreement of the t-sections is the conclusion; the known agreement is for their images s_i and s_j, and bijectivity over U_{ijk} then lifts it uniquely.","Replace the final 't_i and t_j' at line 2221 by 's_i and s_j'.",reported_to_cjk1_2026-08-22
SITES-014,p01,sites.tex,sites.tex:3883-3886,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The proof says 'we can pick a a : j -> i'.","The indefinite article is duplicated.","Delete the first 'a'.",reported_to_cjk1_2026-08-22
SITES-015,p01,sites.tex,sites.tex:3883-3889,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The representative V_j is declared to lie in Ob(mathcal C).","The notation V_j and the equation V=u_j(V_j), with u_j:mathcal C_j->mathcal C, require V_j to be an object of mathcal C_j.","Replace Ob(mathcal C) by Ob(mathcal C_j) at line 3885.",reported_to_cjk1_2026-08-22
SITES-016,p01,sites.tex,sites.tex:3888-3896,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The independence sentence refers to the choice of b:j->i although the representative was chosen with a:j->i; the next sentence again chooses b:j->i and then applies u_b to a morphism in C_j.","In the displayed colimit b has type k->j, so u_b acts on C_j; an arrow b:j->i instead gives u_b:C_i->C_j and cannot act on alpha_j in C_j.","At line 3891 replace b:j->i by a:j->i; at lines 3893-3896 choose a:j->i and state that restrictions use u_b(alpha_j) for b:k->j.",reported_to_cjk1_2026-08-22
SITES-017,p01,sites.tex,sites.tex:3898-3907,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"Both colimit terms use f_{b o a}^{-1} for a:j->i and b:k->j.","The composition b o a is ill-typed; the Situation fixes c=a o b, and the defining formula at line 3888 correctly uses f_{a o b}^{-1}.","Replace both b o a occurrences at lines 3905-3906 by a o b.",reported_to_cjk1_2026-08-22
SITES-018,p01,sites.tex,sites.tex:3933-3947,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The identity-indexed map is written varphi_id twice after being defined as varphi_{text{id},text{id},V_i}.","Plain id is typeset as a product of variables and does not match the established identity index text{id} in the same paragraph.","Replace both subscripts id at lines 3940 and 3947 by text{id}.",reported_to_cjk1_2026-08-22
SITES-019,p01,sites.tex,sites.tex:3954-3961,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The sentence has plural subject 'the functors f_a^{-1}' with singular verb 'commutes'.","Standard subject-verb agreement requires 'commute'.","Replace 'commutes' by 'commute' at line 3957.",reported_to_cjk1_2026-08-22
SITES-020,p01,sites.tex,sites.tex:3967-3994,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The formal colimit at line 3987 evaluates F_i on u_a(X_i).","For a:j->i, u_a(X_i) lies in C_j, so F_i on C_i cannot be evaluated there; the lemma statement at line 3980 correctly uses F_j(u_a(X_i)).","Replace F_i by F_j at line 3987.",reported_to_cjk1_2026-08-22
SITES-021,p01,sites.tex,sites.tex:4011-4025,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The cocycle check takes a:j->i and b:k->i while declaring c=a o b.","The composition a o b is defined only when b:k->j, as in the preceding colimit lemma and the governing Situation.","Replace b:k->i by b:k->j at line 4022.",reported_to_cjk1_2026-08-22
SITES-022,p01,sites.tex,sites.tex:3967-4045,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"Three colimits at lines 4028, 4035 and 4040 are indexed by i in I, but the only index category defined in the Situation is mathcal I and no I is introduced here.","Earlier quantified indices use i in Ob(mathcal I); plain I is undefined in this construction.","Replace each i in I by i in Ob(mathcal I), or explicitly define I as the object set before first use.",reported_to_cjk1_2026-08-22
SITES-023,p01,sites.tex,sites.tex:3997-4045,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The proof twice writes colim f_i^{-1}F_i although no sheaves F_i are defined in this lemma.","The lemma statement is F=colim f_i^{-1}f_{i,*}F and the next line evaluates f_{j,*}F; the dropped direct-image factor changes the object and leaves F_i undefined.","At lines 4035 and 4040 replace f_i^{-1}F_i by f_i^{-1}f_{i,*}F.",reported_to_cjk1_2026-08-22
SITES-024,p01,sites.tex,sites.tex:4383-4391,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The lemma opens with the standalone fragment 'In the situation of Lemma ... .'.","The prepositional phrase is not a complete sentence and is disconnected from the following quantifier.","Join it to the next sentence with a comma.",reported_to_cjk1_2026-08-22
SITES-025,p01,sites.tex,sites.tex:4477-4483,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The family {E_i -> v(u(U))} is called a covering of U in E.","U is an object of C, while the displayed family has target v(u(U)), which is the object of E covered by the family.","Replace 'a covering of U in E' by 'a covering of v(u(U)) in E'.",reported_to_cjk1_2026-08-22
SITES-026,p01,sites.tex,sites.tex:4797-4804,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The question reads 'shouldn't any covering of U cap Z it come'.","The pronoun 'it' is an extraneous duplicate subject.","Delete 'it' at line 4801.",reported_to_cjk1_2026-08-22
SITES-027,p01,sites.tex,sites.tex:4933-4937,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The image covering {v(V_j) -> v(u(U))} is indexed by i in I.","The source covering on the preceding line is indexed by j in J; i and I are unbound in this proof.","Replace the subscript i in I at line 4935 by j in J.",reported_to_cjk1_2026-08-22
SITES-028,p01,sites.tex,sites.tex:4953-4957,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The adjective is spelled 'cocontinous'.","The defined term throughout the chapter is 'cocontinuous'.","Insert the missing 'u' at line 4956.",reported_to_cjk1_2026-08-22
SITES-029,p01,sites.tex,sites.tex:1692-1703,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The proof defines sections s_{j,i} and s_{j,i'} but then invokes s_{i,j} and s_{i',j}.","The latter index order was never defined and reverses the established covering-index/system-index convention.","At line 1702 replace s_{i,j}, s_{i',j} by s_{j,i}, s_{j,i'}.",reported_to_cjk1_2026-08-22
SITES-030,p01,sites.tex,sites.tex:1966-1971,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The definition says 'for all coverings of {U_i -> U}'.","The displayed family itself is the covering; the extra preposition makes the quantification ungrammatical.","Delete 'of' at line 1970.",reported_to_cjk1_2026-08-22
SITES-031,p01,sites.tex,sites.tex:2005-2010,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The proof says s and s' map to the same element of H^0 of the refined covering.","Here s,s' are elements of F^+(U), and the construction shows instead that they are images of the same H^0 element; no map F^+(U)->H^0 is defined.","Replace 'map to the same element of' by 'are the images of the same element of'.",reported_to_cjk1_2026-08-22
SITES-032,p01,sites.tex,sites.tex:2034-2038,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The sheaf property is stated as bijectivity of a map F -> H^0(U,F).","For a covering of U the domain is the set of sections F(U), not the presheaf F.","Replace F by F(U) at line 2037.",reported_to_cjk1_2026-08-22
SITES-033,p01,sites.tex,sites.tex:2146-2151,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The text calls F -> F^+ a functor commuting with finite limits.","An arrow denotes one component/natural morphism, whereas the functor is the assignment F maps to F^+.","Replace the arrow by mapsto, or name the plus functor explicitly.",reported_to_cjk1_2026-08-22
SITES-034,p01,sites.tex,sites.tex:5233-5237,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The proof resumes with the editorial filler 'OK, and by the definition'.","The interjection is out of register and contributes no mathematical content.","Replace 'OK, and by' by 'By'.",reported_to_cjk1_2026-08-22
SITES-035,p01,sites.tex,sites.tex:5358-5363,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The sentence reads 'where j_{U!}^{PSh} G the presheaf defined by the formula'.","The copula is missing, leaving an ungrammatical and incomplete definition.","Insert 'is' before 'the presheaf' at line 5360.",reported_to_cjk1_2026-08-22
SITES-036,p01,sites.tex,sites.tex:5383-5387,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The sentence reads 'The value of the presheaf ... is on X is'.","The first 'is' is misplaced/duplicated.","Use 'The value of the presheaf ... on X is'.",reported_to_cjk1_2026-08-22
SITES-037,p01,sites.tex,sites.tex:5468-5472;5553-5557,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The relocalization functor is defined as j_{V/U}: C/V -> C/U, but the later inverse-image description writes j^{-1}=j_{U/V}^{-1}.","The latter reverses the established source/target indices and names a different, undefined relocalization in this context.","Replace j_{U/V}^{-1} by j_{V/U}^{-1} at line 5555.",reported_to_cjk1_2026-08-22
SITES-038,p01,sites.tex,sites.tex:5597-5602,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The sentence says two functors 'which are right, left adjoint' to j_U^{-1}.","The paired order needs an explicit distributive marker; as written it is ungrammatical.","Use 'which are respectively right and left adjoint'.",reported_to_cjk1_2026-08-22
SITES-039,p01,sites.tex,sites.tex:5617-5621,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The displayed covering has a doubled space before the colon in f_i  :.","This is a minor source typography defect in mathematical prose.","Normalize to a single space before the colon.",reported_to_cjk1_2026-08-22
SITES-040,p01,sites.tex,sites.tex:6072-6083,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The restrictions to V_i times_V V_j use pr_1 composed with varphi_i and pr_2 composed with varphi_j, and the compatibility equality repeats those orders.","Here pr_1 has codomain V_i and varphi_i has domain V_i, so only varphi_i composed with pr_1 is typed; similarly for j. The displayed source compositions are undefined under the stated convention.","At lines 6077, 6080 and 6083 reverse each composition to varphi_i circ pr_1 and varphi_j circ pr_2.",reported_to_cjk1_2026-08-22
SITES-041,p01,sites.tex,sites.tex:2194-2204,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"A covering {U_{ijk} -> U_i times_U U_j} is said to be a covering of the site D.","The lemma and proof define only the site C; D is not introduced in this context, while the covering objects and all surrounding notation lie in C.","Replace mathcal D by mathcal C at line 2200.",reported_to_cjk1_2026-08-22
SITES-042,p01,sites.tex,sites.tex:2215-2223,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"After choosing t_i as the unique lifts of s_i, the proof says their pullbacks agree because 'we have the agreement for t_i and t_j'.","Agreement of the t_i is exactly the conclusion being proved; the established agreement is for the images s_i and s_j, together with injectivity of F(U_{ijk})->G(U_{ijk}) for U_{ijk} in B.","Replace the final t_i and t_j at line 2221 by s_i and s_j.",reported_to_cjk1_2026-08-22
SITES-043,p01,sites.tex,sites.tex:5979-5984,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The construction says 'where restriction along f ... given by'.","The copula is missing from the definition.","Insert 'is' before 'given by' at line 5983.",reported_to_cjk1_2026-08-22
SITES-044,p01,sites.tex,sites.tex:6069-6074,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The declaration 'Let (s_i,varphi_i)...' ends with a comma before a new sentence beginning 'This means'.","The comma creates a sentence-boundary punctuation error.","Replace the comma at the end of line 6072 by a period.",reported_to_cjk1_2026-08-22
SITES-045,p01,sites.tex,sites.tex:6168-6174,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The proof uses the phrase 'equivalent to the fully faithfulness'.","The standard noun phrase is 'full faithfulness'.","Replace 'the fully faithfulness' by 'the full faithfulness' at line 6172.",reported_to_cjk1_2026-08-22
SITES-046,p01,sites.tex,sites.tex:6536-6545,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The functor u':C/U -> D/V sends U'/U to V'/V, but V' is not defined.","The commutative square requires the underlying object to be u(U'), and the proof at lines 6562-6575 constructs exactly u(U')/V.","Replace V'/V by u(U')/V at line 6543.",reported_to_cjk1_2026-08-22
SITES-047,p01,sites.tex,sites.tex:6562-6571,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The morphisms phi_i:u(U_i')->V_{alpha(i)} are called morphisms over U'.","Both objects lie in D and their displayed structure maps target u(U'); U' lies in C and cannot be their base in D.","Replace 'over U'' by 'over u(U')' at line 6569.",reported_to_cjk1_2026-08-22
SITES-048,p01,sites.tex,sites.tex:8276-8281,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The conclusion begins 'Then the the category'.","The article is accidentally duplicated.","Delete one occurrence of 'the' at line 8278.",reported_to_cjk1_2026-08-22
SITES-049,p01,sites.tex,sites.tex:8382-8403,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The functor is said to commute with 'product and fibred products'.","The criterion is preservation of finite limits; in this setting the intended pair is the final object/product and fibre products, and the singular bare 'product' is incomplete English.","Use 'products and fibre products' or state explicitly that the final object and fibre products are preserved.",reported_to_cjk1_2026-08-22
SITES-050,p01,sites.tex,sites.tex:8490-8500,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"After conditions (1) and (2) are checked, the exactness condition is again called Condition (2).","Exactness of the stalk functor is condition (3) of Definition definition-point at lines 7901-7902.","Replace 'Condition (2)' by 'Condition (3)' at line 8497.",reported_to_cjk1_2026-08-22
SITES-051,p01,sites.tex,sites.tex:8490-8500,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The example assumes the chaotic topology but the final sentence calls it discrete.","Example example-indiscrete at lines 820-825 defines the same isomorphism-only coverings as the chaotic or indiscrete topology; discrete is the opposite extreme terminology used separately later.","Replace 'the topology is discrete' by 'the topology is chaotic (or indiscrete)' at line 8498.",reported_to_cjk1_2026-08-22
SITES-052,p01,sites.tex,sites.tex:8580-8588,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The explanation begins 'The first equality since f^{-1}=u_s'.","The predicate is missing.","Use 'The first equality holds since ...' at line 8585.",reported_to_cjk1_2026-08-22
SITES-053,p01,sites.tex,sites.tex:8616-8621,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The display has i_*E(v(u(U)) with one missing closing parenthesis before the equality to Mor.","The identical construction at line 8157 reads i_*E(u(U)) = Mor(u(U),E); here the argument is v(u(U)).","Insert the missing closing parenthesis: i_*E(v(u(U))) = Mor(v(u(U)),E).",reported_to_cjk1_2026-08-22
SITES-054,p01,sites.tex,sites.tex:8620-8625,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The sentence reads 'this is the same as the formula for which is equal to (v composed u)^pE'.","The object after 'formula for' is missing and 'which is equal to' has no antecedent; the displayed Hom formula is precisely the formula for (v composed u)^pE.","Use 'this is the same as the formula for (v composed u)^pE, see Equation ...'.",reported_to_cjk1_2026-08-22
SITES-055,p01,sites.tex,sites.tex:8625-8634,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The functor right-adjoint to g_*i_* is called the stalk functor F maps to F_q.","Here g and i construct the new point p of C; q is the original point of D, so F on C has stalk F_p, not F_q. The following sentence also names p^{-1}.","Replace F_q by F_p at line 8629.",reported_to_cjk1_2026-08-22
SITES-056,p01,sites.tex,sites.tex:8795-8809,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The proof uses q^{-1} composed with j^{-1}=p^{-1}.","The localization morphism throughout the lemma is j_U; no unindexed j is defined here.","Replace j^{-1} by j_U^{-1} at line 8805.",reported_to_cjk1_2026-08-22
SITES-057,p01,sites.tex,sites.tex:6818-6867,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The constructed limit element is said to satisfy s_{(U,psi)}=s.","The category's final object and the prescribed distinguished component are explicitly (U,id) at lines 6821-6825; psi is not the distinguished arrow here.","Replace psi by text{id} in the subscript at line 6866.",reported_to_cjk1_2026-08-22
SITES-058,p01,sites.tex,sites.tex:7652-7673,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"After defining F=h_{u(V)}, the localization diagram suddenly uses C/U and j_U although U is not defined in the lemma.","The intended localization object is u(V); the subsequent comparison also identifies j_F with the representable localization at that object.","Insert 'Set U=u(V)' after line 7658, or replace U in lines 7664, 7670 and 7672 by u(V).",reported_to_cjk1_2026-08-22
SITES-059,p01,sites.tex,sites.tex:7706-7727,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The localized morphism f' is typed with codomain Sh(D)/F.","F is a sheaf on C, not D; the preceding square and lemma-localize-morphism-topoi give codomain Sh(D)/G.","Replace mathcal F by mathcal G in the codomain at line 7725.",reported_to_cjk1_2026-08-22
SITES-060,p01,sites.tex,sites.tex:7788-7795,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"For an arbitrary morphism c:U->u(V), the source states h_U^#=f^{-1}h_V^#.","In general f^{-1}h_V^#=h_{u(V)}^#, while h_U^# maps to it via c and need not equal it; the next line correctly defines that induced map.","Delete '= f^{-1}h_V^#' from line 7793.",reported_to_cjk1_2026-08-22
SITES-061,p01,sites.tex,sites.tex:6768-6772,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The citation attributes SGA 4 Proposition 4.9.4 to Expose III.","The native French SGA 4 Expose IV facsimile places Proposition 4.9.4 in Expose IV (Topos), page 356.","Replace Expose III by Expose IV at line 6771.",reported_to_cjk1_2026-08-22
SITES-062,p01,sites.tex,sites.tex:7115-7126,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The displayed increasing sequence repeats C_2: C_1 subset C_2 subset C_2 subset ...","The inductive definition immediately below defines C_{n+1}; the third term of the illustrative sequence is C_3.","Replace the second C_2 in line 7119 by C_3.",reported_to_cjk1_2026-08-22
SITES-063,p01,sites.tex,sites.tex:7126-7133;7180-7190,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"Two functor codomains use the inconsistent form mathcal{C'} instead of mathcal C prime.","The category is defined and otherwise referenced as mathcal{C}' at lines 7126 and 7182; putting the prime inside the mathcal argument is inconsistent typography.","Replace mathcal{C'} by mathcal{C}' at lines 7132 and 7187.",reported_to_cjk1_2026-08-22
SITES-064,p01,sites.tex,sites.tex:6953-6968,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The final equality says u(c_{ik})=c composed with u(f_{ik}).","Here f_{ik}:U''_{ik}->U''_i while c has domain u(U''); these maps are not composable. Since c_{ik}=c_i composed with f_{ik} and u(c_i)=c composed with u(f_i), the covering composite f_i composed with f_{ik} is required.","Replace u(f_{ik}) by u(f_i composed with f_{ik}) at line 6966.",reported_to_cjk1_2026-08-22
SITES-065,p01,sites.tex,sites.tex:7011-7016,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The warning says statements 'may look be a bit confusing'.","The verb 'be' is extraneous after 'look'.","Delete 'be' at line 7013.",reported_to_cjk1_2026-08-22
SITES-066,p01,sites.tex,sites.tex:7209-7221,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"Four Hom subscripts use Sh(...) without the established control sequence.","The sheaf-category notation throughout is the macro Sh, and the unescaped letters render as a product of variables rather than the category symbol.","Replace Sh by the control sequence Sh in all four subscripts at lines 7213, 7215, 7217 and 7219.",reported_to_cjk1_2026-08-22
SITES-067,p01,sites.tex,sites.tex:7240-7247,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The prose says 'Lemmas' but cites a single lemma-topos-good-site reference.","Only one lemma is invoked at this step.","Replace 'Lemmas' by 'Lemma' at line 7244.",reported_to_cjk1_2026-08-22
SITES-068,p01,sites.tex,sites.tex:7376-7381,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The sentence says the functor 'is the one associates to' an arrow a sheaf.","The relative clause lacks 'that'.","Use 'is the one that associates to' or simply 'associates to' at lines 7379-7380.",reported_to_cjk1_2026-08-22
SITES-069,p01,sites.tex,sites.tex:7926-7936,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"Two representatives of an element of (h_U)_p are said to determine the same object.","The proof is comparing elements of the colimit, as stated at lines 7927 and 7935.","Replace 'object' by 'element' at line 7930.",reported_to_cjk1_2026-08-22
SITES-070,p01,sites.tex,sites.tex:7926-7936,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The equivalence relation is said to require 'chains of identities like this'.","The preceding relation is induced by morphisms and identifications, not by identity maps.","Replace 'identities' by 'identifications' at line 7933.",reported_to_cjk1_2026-08-22
SITES-071,p01,sites.tex,sites.tex:7957-7962,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The lemma statement ends 'For any functor ... Sets.' and starts a new fragment 'The functor...'.","The introductory phrase must be joined to its predicate.","Replace the period at line 7959 by a comma and lowercase 'The' at line 7960.",reported_to_cjk1_2026-08-22
SITES-072,p01,sites.tex,sites.tex:8022-8028,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The definition reads 'we define p_*E=u^sE the sheaf described'.","The predicative construction lacks 'to be'.","Insert 'to be' before 'the sheaf' at line 8025.",reported_to_cjk1_2026-08-22
SITES-073,p01,sites.tex,sites.tex:8198-8223,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The lemma claims p_* commutes with arbitrary coequalizers and says this follows from p_*E(U)=Map(u(U),E).","For a fixed set S, Map(S,-) is a right adjoint and need not preserve coequalizers. With a coarsest-topology category having Hom(0,1) of size two, evaluation at 0 is a valid point and p_* at 1 is (-)^2; the coequalizer of the two maps {*}=>{0,1} becomes a singleton before squaring but has three classes after applying (-)^2.","Delete the arbitrary-coequalizer claim at line 8204 and its asserted proof at line 8222, or state only a narrower verified class such as effective-equivalence-relation coequalizers if intended.",reported_to_cjk1_2026-08-22
SITES-074,p01,sites.tex,sites.tex:7693-7702,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The proof contrasts a singular choice of morphism of sites with 'the morphisms of sites given to us in the lemma'.","The lemma supplies one morphism, and the next sentence compares two choices using 'both cases'.","Replace plural 'morphisms' by singular 'morphism' at line 7699.",reported_to_cjk1_2026-08-22
SITES-075,p01,sites.tex,sites.tex:8042-8048,07AE4690C2D8EB6873837D3D14A37F07408BB14F9E0BE6077ED570C220B1845D,"The singular subject 'the pair of functors' takes the plural verb 'define'.","The grammatical subject is 'pair'.","Replace 'define' by 'defines' at line 8047.",reported_to_cjk1_2026-08-22
